Order_ID,Order_Date,Month,Quarter,Region,City,Service_or_Product,Category,Occasion,Sales_Channel,Unit_Price_INR,Discount_Pct,Quantity,Revenue_INR,Customer_Rating
MH10001,2026-08-29,August,2026Q3,Tamil Nadu,Coimbatore,Bridal Mehendi,Bridal,Festival,Instagram/WhatsApp,2900,15,3,7395.0,4.1
MH10002,2026-06-30,June,2026Q2,Karnataka,Bengaluru,Minimal Mehendi,Minimal,Festival,Walk-in,650,10,3,1755.0,3.8
MH10003,2026-10-25,October,2026Q4,Tamil Nadu,Chennai,Traditional Indian Mehendi,Traditional,Casual,Instagram/WhatsApp,2400,0,1,2400.0,3.7
MH10004,2026-02-28,February,2026Q1,Tamil Nadu,Chennai,Bridal Mehendi,Bridal,Baby Shower,Website Booking,2150,0,3,6450.0,4.2
MH10005,2026-10-06,October,2026Q4,Tamil Nadu,Coimbatore,Arabic Mehendi,Arabic,Wedding,Website Booking,1350,0,1,1350.0,4.5
MH10006,2026-11-14,November,2026Q4,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Baby Shower,Website Booking,1350,10,3,3645.0,4.0
MH10007,2026-06-19,June,2026Q2,Tamil Nadu,Coimbatore,Traditional Indian Mehendi,Traditional,Engagement,Instagram/WhatsApp,1100,0,1,1100.0,3.9
MH10008,2026-05-23,May,2026Q2,Tamil Nadu,Madurai,Arabic Mehendi,Arabic,Engagement,Walk-in,1250,5,3,3562.5,5.0
MH10009,2026-02-21,February,2026Q1,Kerala,Kochi,Arabic Mehendi,Arabic,Casual,Event Planner,2050,5,1,1947.5,3.8
MH10010,2026-06-10,June,2026Q2,Tamil Nadu,Erode,Traditional Indian Mehendi,Traditional,Engagement,Instagram/WhatsApp,2800,5,3,7980.0,5.0
MH10011,2026-01-11,January,2026Q1,Tamil Nadu,Erode,Minimal Mehendi,Minimal,Wedding,Instagram/WhatsApp,550,0,3,1650.0,4.7
MH10012,2026-02-28,February,2026Q1,Karnataka,Bengaluru,Traditional Indian Mehendi,Traditional,Casual,Event Planner,2700,15,2,4590.0,4.5
MH10013,2026-01-21,January,2026Q1,Tamil Nadu,Erode,Minimal Mehendi,Minimal,Party,Website Booking,600,15,2,1020.0,4.4
MH10014,2026-10-19,October,2026Q4,Telangana,Hyderabad,Engagement Mehendi,Bridal,Wedding,Walk-in,3250,15,2,5525.0,4.3
MH10015,2026-10-16,October,2026Q4,Tamil Nadu,Coimbatore,Party Mehendi,Party,Wedding,Website Booking,1500,15,3,3825.0,4.7
MH10016,2026-06-05,June,2026Q2,Tamil Nadu,Coimbatore,Kids Mehendi,Kids,Wedding,Instagram/WhatsApp,400,5,1,380.0,4.2
MH10017,2026-08-11,August,2026Q3,Tamil Nadu,Chennai,Party Mehendi,Party,Wedding,Walk-in,1000,5,2,1900.0,4.5
MH10018,2026-10-30,October,2026Q4,Tamil Nadu,Chennai,Traditional Indian Mehendi,Traditional,Engagement,Walk-in,1650,5,2,3135.0,4.3
MH10019,2026-01-17,January,2026Q1,Tamil Nadu,Madurai,Engagement Mehendi,Bridal,Party,Website Booking,3600,10,3,9720.0,4.6
MH10020,2026-05-24,May,2026Q2,Kerala,Kochi,Minimal Mehendi,Minimal,Wedding,Website Booking,1350,15,1,1147.5,4.0
MH10021,2026-03-14,March,2026Q1,Tamil Nadu,Madurai,Bridal Mehendi,Bridal,Wedding,Instagram/WhatsApp,3650,5,3,10402.5,4.2
MH10022,2026-10-22,October,2026Q4,Karnataka,Bengaluru,Minimal Mehendi,Minimal,Wedding,Walk-in,950,10,1,855.0,3.9
MH10023,2026-10-08,October,2026Q4,Tamil Nadu,Coimbatore,Kids Mehendi,Kids,Wedding,Walk-in,650,20,2,1040.0,4.3
MH10024,2026-12-20,December,2026Q4,Tamil Nadu,Coimbatore,Minimal Mehendi,Minimal,Wedding,Event Planner,650,15,2,1105.0,4.4
MH10025,2026-10-17,October,2026Q4,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Wedding,Instagram/WhatsApp,2150,5,3,6127.5,4.6
MH10026,2026-02-10,February,2026Q1,Tamil Nadu,Erode,Minimal Mehendi,Minimal,Wedding,Walk-in,1000,5,3,2850.0,4.6
MH10027,2026-09-06,September,2026Q3,Telangana,Hyderabad,Engagement Mehendi,Bridal,Party,Instagram/WhatsApp,3200,10,1,2880.0,4.2
MH10028,2026-07-24,July,2026Q3,Tamil Nadu,Coimbatore,Bridal Mehendi,Bridal,Party,Instagram/WhatsApp,4700,0,4,18800.0,4.3
MH10029,2026-10-29,October,2026Q4,Tamil Nadu,Salem,Party Mehendi,Party,Wedding,Instagram/WhatsApp,1800,0,2,3600.0,4.4
MH10030,2026-10-29,October,2026Q4,Kerala,Kochi,Party Mehendi,Party,Wedding,Website Booking,1300,10,4,4680.0,4.2
MH10031,2026-10-27,October,2026Q4,Tamil Nadu,Salem,Minimal Mehendi,Minimal,Wedding,Walk-in,700,15,4,2380.0,5.0
MH10032,2026-06-30,June,2026Q2,Karnataka,Bengaluru,Minimal Mehendi,Minimal,Party,Website Booking,700,0,1,700.0,5.0
MH10033,2026-05-14,May,2026Q2,Telangana,Hyderabad,Bridal Mehendi,Bridal,Party,Instagram/WhatsApp,4250,10,1,3825.0,4.5
MH10034,2026-11-15,November,2026Q4,Kerala,Kochi,Party Mehendi,Party,Wedding,Website Booking,1800,0,2,3600.0,3.7
MH10035,2026-10-21,October,2026Q4,Karnataka,Bengaluru,Traditional Indian Mehendi,Traditional,Wedding,Walk-in,1450,10,3,3915.0,4.1
MH10036,2026-08-11,August,2026Q3,Karnataka,Bengaluru,Engagement Mehendi,Bridal,Wedding,Instagram/WhatsApp,2700,0,3,8100.0,4.2
MH10037,2026-08-21,August,2026Q3,Karnataka,Bengaluru,Kids Mehendi,Kids,Wedding,Walk-in,450,0,1,450.0,4.1
MH10038,2026-05-22,May,2026Q2,Tamil Nadu,Coimbatore,Minimal Mehendi,Minimal,Casual,Instagram/WhatsApp,600,0,2,1200.0,4.5
MH10039,2026-03-14,March,2026Q1,Tamil Nadu,Coimbatore,Party Mehendi,Party,Festival,Walk-in,950,5,4,3610.0,4.5
MH10040,2026-04-04,April,2026Q2,Tamil Nadu,Erode,Bridal Mehendi,Bridal,Festival,Instagram/WhatsApp,3600,15,2,6120.0,4.3
MH10041,2026-03-02,March,2026Q1,Kerala,Kochi,Bridal Mehendi,Bridal,Party,Instagram/WhatsApp,4050,10,2,7290.0,4.1
MH10042,2026-11-27,November,2026Q4,Tamil Nadu,Salem,Kids Mehendi,Kids,Casual,Instagram/WhatsApp,500,0,3,1500.0,4.6
MH10043,2026-07-02,July,2026Q3,Tamil Nadu,Salem,Arabic Mehendi,Arabic,Engagement,Walk-in,1650,5,1,1567.5,4.4
MH10044,2026-03-23,March,2026Q1,Telangana,Hyderabad,Kids Mehendi,Kids,Wedding,Walk-in,550,5,4,2090.0,3.8
MH10045,2026-09-24,September,2026Q3,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Engagement,Event Planner,1700,5,4,6460.0,5.0
MH10046,2026-10-14,October,2026Q4,Tamil Nadu,Erode,Bridal Mehendi,Bridal,Wedding,Walk-in,2450,15,2,4165.0,4.4
MH10047,2026-08-07,August,2026Q3,Tamil Nadu,Salem,Arabic Mehendi,Arabic,Casual,Website Booking,1550,5,2,2945.0,4.2
MH10048,2026-04-20,April,2026Q2,Kerala,Kochi,Minimal Mehendi,Minimal,Wedding,Event Planner,500,15,2,850.0,4.4
MH10049,2026-05-27,May,2026Q2,Tamil Nadu,Erode,Minimal Mehendi,Minimal,Casual,Instagram/WhatsApp,1200,5,2,2280.0,4.5
MH10050,2026-05-05,May,2026Q2,Tamil Nadu,Salem,Engagement Mehendi,Bridal,Wedding,Website Booking,2850,10,2,5130.0,4.6
MH10051,2026-07-31,July,2026Q3,Tamil Nadu,Chennai,Engagement Mehendi,Bridal,Baby Shower,Instagram/WhatsApp,2550,0,2,5100.0,4.2
MH10052,2026-01-12,January,2026Q1,Tamil Nadu,Salem,Party Mehendi,Party,Wedding,Instagram/WhatsApp,1700,5,3,4845.0,4.3
MH10053,2026-11-09,November,2026Q4,Tamil Nadu,Erode,Bridal Mehendi,Bridal,Festival,Website Booking,4800,0,4,19200.0,4.3
MH10054,2026-06-20,June,2026Q2,Kerala,Kochi,Minimal Mehendi,Minimal,Engagement,Instagram/WhatsApp,650,10,2,1170.0,3.6
MH10055,2026-08-21,August,2026Q3,Tamil Nadu,Salem,Arabic Mehendi,Arabic,Festival,Instagram/WhatsApp,1300,5,2,2470.0,4.6
MH10056,2026-05-10,May,2026Q2,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Party,Website Booking,1500,5,2,2850.0,4.5
MH10057,2026-01-30,January,2026Q1,Tamil Nadu,Madurai,Arabic Mehendi,Arabic,Wedding,Walk-in,2000,15,1,1700.0,3.7
MH10058,2026-12-24,December,2026Q4,Tamil Nadu,Salem,Engagement Mehendi,Bridal,Wedding,Instagram/WhatsApp,3050,0,4,12200.0,4.0
MH10059,2026-09-10,September,2026Q3,Tamil Nadu,Salem,Bridal Mehendi,Bridal,Festival,Website Booking,3600,10,1,3240.0,4.2
MH10060,2026-01-15,January,2026Q1,Tamil Nadu,Coimbatore,Kids Mehendi,Kids,Wedding,Walk-in,300,0,2,600.0,4.6
MH10061,2026-08-07,August,2026Q3,Tamil Nadu,Coimbatore,Party Mehendi,Party,Festival,Event Planner,750,0,3,2250.0,4.3
MH10062,2026-04-09,April,2026Q2,Tamil Nadu,Erode,Party Mehendi,Party,Wedding,Website Booking,1500,10,2,2700.0,4.2
MH10063,2026-11-24,November,2026Q4,Tamil Nadu,Salem,Minimal Mehendi,Minimal,Wedding,Walk-in,1350,10,3,3645.0,4.3
MH10064,2026-06-22,June,2026Q2,Tamil Nadu,Coimbatore,Kids Mehendi,Kids,Festival,Instagram/WhatsApp,650,0,3,1950.0,3.8
MH10065,2026-02-23,February,2026Q1,Tamil Nadu,Erode,Engagement Mehendi,Bridal,Baby Shower,Instagram/WhatsApp,2550,5,3,7267.5,4.2
MH10066,2026-03-12,March,2026Q1,Tamil Nadu,Coimbatore,Bridal Mehendi,Bridal,Festival,Instagram/WhatsApp,2050,5,2,3895.0,4.2
MH10067,2026-02-26,February,2026Q1,Tamil Nadu,Chennai,Engagement Mehendi,Bridal,Festival,Event Planner,3100,10,3,8370.0,4.4
MH10068,2026-09-17,September,2026Q3,Tamil Nadu,Coimbatore,Arabic Mehendi,Arabic,Wedding,Website Booking,1050,15,3,2677.5,4.5
MH10069,2026-03-12,March,2026Q1,Tamil Nadu,Coimbatore,Party Mehendi,Party,Festival,Walk-in,1200,0,4,4800.0,4.3
MH10070,2026-01-07,January,2026Q1,Kerala,Kochi,Bridal Mehendi,Bridal,Wedding,Walk-in,3000,10,3,8100.0,4.6
MH10071,2026-07-08,July,2026Q3,Tamil Nadu,Erode,Arabic Mehendi,Arabic,Engagement,Instagram/WhatsApp,900,0,1,900.0,4.8
MH10072,2026-04-08,April,2026Q2,Tamil Nadu,Chennai,Arabic Mehendi,Arabic,Wedding,Walk-in,1950,10,3,5265.0,4.2
MH10073,2026-01-14,January,2026Q1,Tamil Nadu,Salem,Kids Mehendi,Kids,Engagement,Instagram/WhatsApp,250,0,4,1000.0,4.6
MH10074,2026-10-31,October,2026Q4,Tamil Nadu,Salem,Minimal Mehendi,Minimal,Wedding,Website Booking,1000,15,3,2550.0,4.1
MH10075,2026-08-02,August,2026Q3,Tamil Nadu,Madurai,Kids Mehendi,Kids,Festival,Event Planner,650,15,2,1105.0,4.1
MH10076,2026-03-11,March,2026Q1,Telangana,Hyderabad,Kids Mehendi,Kids,Engagement,Instagram/WhatsApp,650,0,2,1300.0,4.2
MH10077,2026-10-02,October,2026Q4,Tamil Nadu,Madurai,Engagement Mehendi,Bridal,Casual,Instagram/WhatsApp,1500,10,2,2700.0,4.0
MH10078,2026-12-14,December,2026Q4,Kerala,Kochi,Traditional Indian Mehendi,Traditional,Festival,Website Booking,1900,15,2,3230.0,3.8
MH10079,2026-05-10,May,2026Q2,Kerala,Kochi,Bridal Mehendi,Bridal,Casual,Website Booking,3450,20,1,2760.0,4.8
MH10080,2026-11-17,November,2026Q4,Tamil Nadu,Coimbatore,Party Mehendi,Party,Baby Shower,Walk-in,1500,0,3,4500.0,5.0
MH10081,2026-06-20,June,2026Q2,Tamil Nadu,Erode,Traditional Indian Mehendi,Traditional,Wedding,Event Planner,2600,10,2,4680.0,4.6
MH10082,2026-12-03,December,2026Q4,Telangana,Hyderabad,Engagement Mehendi,Bridal,Festival,Walk-in,3650,5,3,10402.5,4.0
MH10083,2026-04-12,April,2026Q2,Karnataka,Bengaluru,Bridal Mehendi,Bridal,Casual,Walk-in,3700,10,2,6660.0,4.8
MH10084,2026-01-12,January,2026Q1,Kerala,Kochi,Bridal Mehendi,Bridal,Wedding,Event Planner,2350,15,4,7990.0,4.4
MH10085,2026-08-16,August,2026Q3,Tamil Nadu,Salem,Traditional Indian Mehendi,Traditional,Baby Shower,Event Planner,2300,0,2,4600.0,3.9
MH10086,2026-03-30,March,2026Q1,Tamil Nadu,Chennai,Traditional Indian Mehendi,Traditional,Festival,Event Planner,1450,10,3,3915.0,3.6
MH10087,2026-03-02,March,2026Q1,Tamil Nadu,Salem,Arabic Mehendi,Arabic,Festival,Event Planner,1300,5,2,2470.0,5.0
MH10088,2026-06-02,June,2026Q2,Karnataka,Bengaluru,Traditional Indian Mehendi,Traditional,Wedding,Event Planner,1600,10,2,2880.0,4.4
MH10089,2026-02-27,February,2026Q1,Tamil Nadu,Madurai,Engagement Mehendi,Bridal,Party,Event Planner,2050,10,2,3690.0,4.5
MH10090,2026-01-19,January,2026Q1,Tamil Nadu,Chennai,Minimal Mehendi,Minimal,Wedding,Walk-in,1400,5,2,2660.0,3.7
MH10091,2026-09-13,September,2026Q3,Tamil Nadu,Salem,Traditional Indian Mehendi,Traditional,Wedding,Event Planner,1900,0,1,1900.0,4.3
MH10092,2026-03-27,March,2026Q1,Tamil Nadu,Salem,Arabic Mehendi,Arabic,Party,Walk-in,1800,15,4,6120.0,4.1
MH10093,2026-11-11,November,2026Q4,Tamil Nadu,Salem,Arabic Mehendi,Arabic,Wedding,Website Booking,2200,0,4,8800.0,4.2
