Order_ID,Order_Date,Month,Quarter,Region,City,Service_or_Product,Category,Occasion,Sales_Channel,Unit_Price_INR,Discount_Pct,Quantity,Revenue_INR,Customer_Rating
PP10001,2026-10-10,October,2026Q4,Kerala,Kochi,Ready-to-Wear Organza,Organza,Party,Offline Store,4500,0,2,9000.0,4.0
PP10002,2026-09-07,September,2026Q3,Tamil Nadu,Chennai,Pre-Stitched Silk,Silk,Reception,Online Website,5700,15,1,4845.0,4.7
PP10003,2026-11-13,November,2026Q4,Tamil Nadu,Chennai,Pre-Stitched Silk,Silk,Reception,Instagram/WhatsApp,5700,0,1,5700.0,4.5
PP10004,2026-02-19,February,2026Q1,Tamil Nadu,Chennai,Ready-to-Wear Organza,Organza,Festival,Marketplace,4450,10,1,4005.0,4.6
PP10005,2026-02-28,February,2026Q1,Tamil Nadu,Coimbatore,Pre-Draped Tissue,Tissue,Reception,Marketplace,4150,15,1,3527.5,4.4
PP10006,2026-10-16,October,2026Q4,Delhi NCR,Delhi,Pre-Draped Tissue,Tissue,Wedding,Instagram/WhatsApp,5400,10,2,9720.0,3.8
PP10007,2026-11-04,November,2026Q4,Telangana,Hyderabad,Pre-Pleated Georgette,Georgette,Wedding,Offline Store,3100,0,2,6200.0,4.3
PP10008,2026-10-05,October,2026Q4,Telangana,Hyderabad,Pre-Pleated Georgette,Georgette,Sangeet,Marketplace,3400,0,3,10200.0,4.4
PP10009,2026-09-22,September,2026Q3,Telangana,Hyderabad,Pre-Stitched Silk,Silk,Sangeet,Online Website,6450,10,2,11610.0,4.2
PP10010,2026-06-21,June,2026Q2,Karnataka,Bengaluru,Pre-Pleated Georgette,Georgette,Wedding,Marketplace,2400,10,2,4320.0,4.6
PP10011,2026-04-28,April,2026Q2,Kerala,Kochi,Ready Pleated Cotton,Cotton,Party,Offline Store,1700,10,3,4590.0,4.8
PP10012,2026-09-22,September,2026Q3,Maharashtra,Mumbai,Pre-Stitched Silk,Silk,Reception,Online Website,6950,0,2,13900.0,4.3
PP10013,2026-04-27,April,2026Q2,Kerala,Kochi,Pre-Draped Tissue,Tissue,Reception,Offline Store,4250,10,2,7650.0,4.7
PP10014,2026-09-25,September,2026Q3,Tamil Nadu,Chennai,Pre-Draped Tissue,Tissue,Party,Online Website,5050,5,1,4797.5,5.0
PP10015,2026-01-14,January,2026Q1,Maharashtra,Pune,Pre-Pleated Georgette,Georgette,Wedding,Online Website,3850,0,2,7700.0,4.6
PP10016,2026-05-27,May,2026Q2,Telangana,Hyderabad,Pre-Stitched Silk,Silk,Wedding,Offline Store,7100,0,1,7100.0,4.3
