Order_ID,Order_Date,Month,Quarter,Region,City,Saree_Type,Fabric,Occasion,Sales_Channel,Customer_Age,Unit_Price_INR,Discount_Pct,Units_Sold,Revenue_INR,Customer_Rating
SAR10001,2026-09-15,September,2026Q3,Maharashtra,Mumbai,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,46,5350,0,7,37450.0,4.0
SAR10002,2026-10-10,October,2026Q4,Tamil Nadu,Madurai,Cotton,Cotton,Gift,Online Website,42,1700,0,9,15300.0,4.5
SAR10003,2026-03-19,March,2026Q1,Telangana,Hyderabad,Handloom,Handloom,Wedding,Online Website,37,4800,10,4,17280.0,4.8
SAR10004,2026-11-30,November,2026Q4,Tamil Nadu,Erode,Cotton,Cotton,Daily Wear,Marketplace,27,950,15,9,7267.5,3.8
SAR10005,2026-01-30,January,2026Q1,Maharashtra,Mumbai,Ready-to-Wear,Synthetic Blend,Wedding,Marketplace,38,2250,5,5,10687.5,4.7
SAR10006,2026-04-27,April,2026Q2,Telangana,Hyderabad,Ready-to-Wear,Synthetic Blend,Party,Marketplace,42,2300,15,5,9775.0,4.9
SAR10007,2026-01-29,January,2026Q1,Tamil Nadu,Chennai,Cotton,Cotton,Wedding,Offline Store,27,950,5,13,11732.5,4.2
SAR10008,2026-05-11,May,2026Q2,Telangana,Warangal,Designer,Synthetic Blend,Festival,Online Website,34,5800,10,5,26100.0,3.3
SAR10009,2026-07-25,July,2026Q3,Kerala,Thrissur,Handloom,Handloom,Festival,Online Website,38,1850,10,3,4995.0,4.3
SAR10010,2026-01-28,January,2026Q1,Maharashtra,Mumbai,Ready-to-Wear,Synthetic Blend,Daily Wear,Social Commerce,35,2850,0,7,19950.0,3.5
SAR10011,2026-09-07,September,2026Q3,Tamil Nadu,Erode,Linen,Linen,Wedding,Social Commerce,34,3250,10,6,17550.0,5.0
SAR10012,2026-09-21,September,2026Q3,Karnataka,Mysuru,Banarasi Silk,Silk,Festival,Offline Store,34,9900,5,4,37620.0,4.5
SAR10013,2026-04-07,April,2026Q2,Gujarat,Surat,Ready-to-Wear,Synthetic Blend,Daily Wear,Online Website,34,2550,0,9,22950.0,4.2
SAR10014,2026-05-16,May,2026Q2,Kerala,Thrissur,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,43,5050,5,12,57570.0,4.2
SAR10015,2026-04-22,April,2026Q2,Kerala,Thrissur,Ready-to-Wear,Synthetic Blend,Party,Online Website,35,4050,20,8,25920.0,4.0
SAR10016,2026-11-01,November,2026Q4,Tamil Nadu,Coimbatore,Organza,Organza,Party,Offline Store,35,2350,10,5,10575.0,4.6
SAR10017,2026-10-22,October,2026Q4,Telangana,Warangal,Banarasi Silk,Silk,Festival,Offline Store,45,8400,5,6,47880.0,3.9
SAR10018,2026-01-26,January,2026Q1,Maharashtra,Pune,Ready-to-Wear,Synthetic Blend,Festival,Online Website,29,2850,10,6,15390.0,4.2
SAR10019,2026-11-21,November,2026Q4,Maharashtra,Pune,Designer,Synthetic Blend,Party,Offline Store,46,4300,5,3,12255.0,4.2
SAR10020,2026-04-23,April,2026Q2,Tamil Nadu,Erode,Georgette,Georgette,Daily Wear,Social Commerce,44,1450,10,8,10440.0,4.2
SAR10021,2026-11-13,November,2026Q4,Delhi NCR,Gurugram,Ready-to-Wear,Synthetic Blend,Office Wear,Marketplace,50,3850,15,10,32725.0,3.7
SAR10022,2026-01-18,January,2026Q1,Maharashtra,Mumbai,Organza,Organza,Festival,Social Commerce,35,4050,15,5,17212.5,4.1
SAR10023,2026-09-08,September,2026Q3,Karnataka,Mysuru,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,32,4600,5,11,48070.0,4.8
SAR10024,2026-07-21,July,2026Q3,Kerala,Thrissur,Handloom,Handloom,Festival,Offline Store,27,3800,15,8,25840.0,3.1
SAR10025,2026-04-27,April,2026Q2,Maharashtra,Pune,Georgette,Georgette,Wedding,Offline Store,40,1700,0,13,22100.0,3.8
SAR10026,2026-02-17,February,2026Q1,Tamil Nadu,Coimbatore,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,32,3600,10,8,25920.0,5.0
SAR10027,2026-05-29,May,2026Q2,Maharashtra,Mumbai,Ready-to-Wear,Synthetic Blend,Wedding,Offline Store,26,3500,10,7,22050.0,4.0
SAR10028,2026-12-28,December,2026Q4,Telangana,Warangal,Ready-to-Wear,Synthetic Blend,Gift,Social Commerce,27,5050,25,8,30300.0,4.4
SAR10029,2026-12-18,December,2026Q4,Tamil Nadu,Erode,Designer,Synthetic Blend,Wedding,Offline Store,47,4550,20,3,10920.0,4.3
SAR10030,2026-11-23,November,2026Q4,Kerala,Kochi,Kanjivaram Silk,Silk,Festival,Online Website,25,10200,5,5,48450.0,4.2
SAR10031,2026-09-07,September,2026Q3,West Bengal,Howrah,Organza,Organza,Party,Offline Store,37,2400,5,8,18240.0,4.5
SAR10032,2026-10-24,October,2026Q4,Delhi NCR,Noida,Linen,Linen,Wedding,Online Website,26,2450,15,11,22907.5,4.3
SAR10033,2026-09-03,September,2026Q3,Gujarat,Ahmedabad,Cotton,Cotton,Festival,Offline Store,18,1150,15,12,11730.0,4.3
SAR10034,2026-01-04,January,2026Q1,West Bengal,Kolkata,Cotton,Cotton,Party,Social Commerce,36,1400,10,8,10080.0,4.2
SAR10035,2026-10-20,October,2026Q4,Delhi NCR,Noida,Chiffon,Chiffon,Wedding,Offline Store,36,1750,10,11,17325.0,3.8
SAR10036,2026-05-18,May,2026Q2,Karnataka,Mysuru,Banarasi Silk,Silk,Party,Online Website,47,6000,5,3,17100.0,3.8
SAR10037,2026-06-02,June,2026Q2,West Bengal,Howrah,Kanjivaram Silk,Silk,Daily Wear,Marketplace,30,6500,0,2,13000.0,4.1
SAR10038,2026-02-19,February,2026Q1,Delhi NCR,Delhi,Handloom,Handloom,Wedding,Online Website,41,3600,15,6,18360.0,4.7
SAR10039,2026-08-15,August,2026Q3,Kerala,Kochi,Georgette,Georgette,Daily Wear,Online Website,38,2450,5,12,27930.0,4.0
SAR10040,2026-10-19,October,2026Q4,Telangana,Warangal,Kanjivaram Silk,Silk,Festival,Offline Store,35,8750,0,3,26250.0,4.5
SAR10041,2026-08-05,August,2026Q3,Karnataka,Mysuru,Cotton,Cotton,Gift,Offline Store,36,1100,5,8,8360.0,4.5
SAR10042,2026-06-09,June,2026Q2,Delhi NCR,Noida,Linen,Linen,Daily Wear,Marketplace,34,2400,0,3,7200.0,4.3
SAR10043,2026-11-08,November,2026Q4,Maharashtra,Mumbai,Chiffon,Chiffon,Daily Wear,Offline Store,39,2200,0,12,26400.0,4.7
SAR10044,2026-09-17,September,2026Q3,Kerala,Kochi,Banarasi Silk,Silk,Daily Wear,Offline Store,33,4900,15,3,12495.0,3.9
SAR10045,2026-03-15,March,2026Q1,West Bengal,Howrah,Cotton,Cotton,Wedding,Online Website,45,1300,10,8,9360.0,3.7
SAR10046,2026-10-22,October,2026Q4,Karnataka,Mysuru,Banarasi Silk,Silk,Wedding,Offline Store,42,9650,0,4,38600.0,4.9
SAR10047,2026-10-16,October,2026Q4,Karnataka,Mysuru,Organza,Organza,Daily Wear,Offline Store,32,3050,5,10,28975.0,3.6
SAR10048,2026-04-12,April,2026Q2,Karnataka,Mysuru,Ready-to-Wear,Synthetic Blend,Wedding,Online Website,60,5150,5,6,29355.0,5.0
SAR10049,2026-02-28,February,2026Q1,Tamil Nadu,Chennai,Chiffon,Chiffon,Office Wear,Marketplace,34,2150,5,8,16340.0,4.0
SAR10050,2026-01-23,January,2026Q1,Gujarat,Surat,Cotton,Cotton,Gift,Marketplace,61,1600,5,10,15200.0,4.0
SAR10051,2026-03-21,March,2026Q1,Delhi NCR,Gurugram,Ready-to-Wear,Synthetic Blend,Party,Online Website,34,2800,10,5,12600.0,4.1
SAR10052,2026-03-17,March,2026Q1,Kerala,Thrissur,Designer,Synthetic Blend,Office Wear,Offline Store,23,6350,0,2,12700.0,4.7
SAR10053,2026-05-20,May,2026Q2,Delhi NCR,Noida,Designer,Synthetic Blend,Daily Wear,Offline Store,44,6450,0,5,32250.0,4.1
SAR10054,2026-09-09,September,2026Q3,Maharashtra,Mumbai,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,44,3300,5,8,25080.0,4.1
SAR10055,2026-01-15,January,2026Q1,Telangana,Warangal,Linen,Linen,Daily Wear,Offline Store,25,1750,20,13,18200.0,5.0
SAR10056,2026-10-16,October,2026Q4,Karnataka,Bengaluru,Georgette,Georgette,Daily Wear,Social Commerce,27,3000,0,7,21000.0,4.1
SAR10057,2026-07-14,July,2026Q3,Karnataka,Bengaluru,Ready-to-Wear,Synthetic Blend,Daily Wear,Offline Store,31,3150,10,9,25515.0,4.7
SAR10058,2026-10-04,October,2026Q4,Gujarat,Surat,Cotton,Cotton,Wedding,Offline Store,32,1550,10,7,9765.0,3.6
SAR10059,2026-11-14,November,2026Q4,Telangana,Warangal,Ready-to-Wear,Synthetic Blend,Party,Online Website,18,2300,10,7,14490.0,4.2
SAR10060,2026-06-14,June,2026Q2,West Bengal,Howrah,Organza,Organza,Daily Wear,Online Website,28,2350,20,6,11280.0,4.0
